id,PV output,PeriodStart,hours
547,0,19-11-2018,19
540,1860.311111,19-11-2018,12
533,0,19-11-2018,5
538,155.4428969,19-11-2018,10
528,0,19-11-2018,0
529,0,19-11-2018,1
530,0,19-11-2018,2
531,0,19-11-2018,3
532,0,19-11-2018,4
539,784.275,19-11-2018,11
534,0,19-11-2018,6
535,0,19-11-2018,7
536,0,19-11-2018,8
537,0,19-11-2018,9
575,0,20-11-2018,23
574,0,20-11-2018,22
573,0,20-11-2018,21
572,0,20-11-2018,20
571,0,20-11-2018,19
570,0,20-11-2018,18
569,0,20-11-2018,17
568,0,20-11-2018,16
566,1213.75,20-11-2018,14
565,1555.427778,20-11-2018,13
564,1770.741667,20-11-2018,12
567,716.5277778,20-11-2018,15
562,1013.541667,20-11-2018,10
563,1504.680556,20-11-2018,11
553,0,20-11-2018,1
554,0,20-11-2018,2
555,0,20-11-2018,3
556,0,20-11-2018,4
552,0,20-11-2018,0
558,0,20-11-2018,6
559,0,20-11-2018,7
560,0,20-11-2018,8
561,27.13888889,20-11-2018,9
557,0,20-11-2018,5
590,1014.205556,21-11-2018,14
591,57.45,21-11-2018,15
592,0,21-11-2018,16
593,0,21-11-2018,17
594,0,21-11-2018,18
596,0,21-11-2018,20
597,0,21-11-2018,21
598,0,21-11-2018,22
599,0,21-11-2018,23
589,1605.980556,21-11-2018,13
595,0,21-11-2018,19
588,1650.677778,21-11-2018,12
579,0,21-11-2018,3
586,1203.394444,21-11-2018,10
585,451.2555556,21-11-2018,9
584,158.7444444,21-11-2018,8
583,0,21-11-2018,7
582,0,21-11-2018,6
581,0,21-11-2018,5
580,0,21-11-2018,4
578,0,21-11-2018,2
577,0,21-11-2018,1
576,0,21-11-2018,0
587,1647.880556,21-11-2018,11
614,754.7722222,22-11-2018,14
615,175.2333333,22-11-2018,15
616,0,22-11-2018,16
617,0,22-11-2018,17
618,0,22-11-2018,18
623,0,22-11-2018,23
620,0,22-11-2018,20
621,0,22-11-2018,21
622,0,22-11-2018,22
613,1286.311111,22-11-2018,13
619,0,22-11-2018,19
612,1679.372222,22-11-2018,12
603,0,22-11-2018,3
610,1825.397222,22-11-2018,10
600,0,22-11-2018,0
601,102.4,22-11-2018,1
602,0,22-11-2018,2
604,0,22-11-2018,4
611,2085.911111,22-11-2018,11
606,0,22-11-2018,6
607,0,22-11-2018,7
608,0,22-11-2018,8
609,953.4444444,22-11-2018,9
605,0,22-11-2018,5
637,673.1166667,23-11-2018,13
638,16.56388889,23-11-2018,14
639,0,23-11-2018,15
640,0,23-11-2018,16
641,0,23-11-2018,17
643,0,23-11-2018,19
644,0,23-11-2018,20
645,0,23-11-2018,21
636,865.6805556,23-11-2018,12
647,0,23-11-2018,23
642,0,23-11-2018,18
646,0,23-11-2018,22
635,637.4416667,23-11-2018,11
633,63.66944444,23-11-2018,9
632,0,23-11-2018,8
631,0,23-11-2018,7
630,0,23-11-2018,6
629,0,23-11-2018,5
628,0,23-11-2018,4
627,0,23-11-2018,3
626,0,23-11-2018,2
625,0,23-11-2018,1
624,0,23-11-2018,0
634,155.4305556,23-11-2018,10
662,1432.875,24-11-2018,14
663,432.0611111,24-11-2018,15
664,0,24-11-2018,16
665,0,24-11-2018,17
661,2582.855556,24-11-2018,13
667,0,24-11-2018,19
668,0,24-11-2018,20
669,0,24-11-2018,21
670,0,24-11-2018,22
666,0,24-11-2018,18
660,3761.405556,24-11-2018,12
671,0,24-11-2018,23
658,1103.566667,24-11-2018,10
648,0,24-11-2018,0
649,0,24-11-2018,1
650,0,24-11-2018,2
651,0,24-11-2018,3
652,0,24-11-2018,4
659,1556.030556,24-11-2018,11
654,0,24-11-2018,6
655,0,24-11-2018,7
656,52.88333333,24-11-2018,8
657,858.8666667,24-11-2018,9
653,0,24-11-2018,5
686,157.9,25-11-2018,14
687,0,25-11-2018,15
688,0,25-11-2018,16
689,0,25-11-2018,17
690,0,25-11-2018,18
692,0,25-11-2018,20
693,0,25-11-2018,21
694,0,25-11-2018,22
695,0,25-11-2018,23
685,657.1111111,25-11-2018,13
691,0,25-11-2018,19
684,630.4472222,25-11-2018,12
675,0,25-11-2018,3
682,606.2888889,25-11-2018,10
681,293.8888889,25-11-2018,9
680,0,25-11-2018,8
679,0,25-11-2018,7
678,0,25-11-2018,6
677,0,25-11-2018,5
676,0,25-11-2018,4
683,777.7972222,25-11-2018,11
674,0,25-11-2018,2
673,0,25-11-2018,1
672,0,25-11-2018,0
710,375.5277778,26-11-2018,14
711,0,26-11-2018,15
712,0,26-11-2018,16
713,0,26-11-2018,17
714,0,26-11-2018,18
719,0,26-11-2018,23
716,0,26-11-2018,20
717,0,26-11-2018,21
718,0,26-11-2018,22
709,1163.894444,26-11-2018,13
715,0,26-11-2018,19
708,1061.577778,26-11-2018,12
707,682.9138889,26-11-2018,11
706,232.9333333,26-11-2018,10
697,0,26-11-2018,1
698,0,26-11-2018,2
699,0,26-11-2018,3
700,0,26-11-2018,4
696,0,26-11-2018,0
702,0,26-11-2018,6
703,0,26-11-2018,7
704,0,26-11-2018,8
705,0,26-11-2018,9
701,0,26-11-2018,5
733,1605.877778,27-11-2018,13
742,0,27-11-2018,22
741,0,27-11-2018,21
740,0,27-11-2018,20
739,0,27-11-2018,19
738,0,27-11-2018,18
737,0,27-11-2018,17
736,0,27-11-2018,16
735,78.45845272,27-11-2018,15
734,1395.556851,27-11-2018,14
732,1442.727778,27-11-2018,12
743,0,27-11-2018,23
730,1917.219444,27-11-2018,10
720,0,27-11-2018,0
721,0,27-11-2018,1
722,0,27-11-2018,2
723,0,27-11-2018,3
724,0,27-11-2018,4
731,873.7138889,27-11-2018,11
726,0,27-11-2018,6
727,0,27-11-2018,7
728,14.04444444,27-11-2018,8
729,1117.863889,27-11-2018,9
725,0,27-11-2018,5
766,0,28-11-2018,22
765,0,28-11-2018,21
764,0,28-11-2018,20
763,0,28-11-2018,19
762,0,28-11-2018,18
761,0,28-11-2018,17
760,0,28-11-2018,16
759,418.4638889,28-11-2018,15
758,1162.355556,28-11-2018,14
757,1475.297222,28-11-2018,13
756,1246.522222,28-11-2018,12
767,0,28-11-2018,23
754,1382.752778,28-11-2018,10
744,0,28-11-2018,0
